project,task_id,tier,install_t,end_t,duration_h,end_reason,n_modules,skip_count_at_install,owner_dispatched_during,reserved_mod_h,idle_reserved_mod_h,next_demand_gap_h,n_blocked_topskips_during,modules
reify,274,,2026-04-14T05:05:39.295324+00:00,2026-04-14T06:08:43.748000+00:00,1.0512,era_death,2,4,0,2.102,0.000,0.923,0,crates/reify-compiler/tests;crates/reify-eval/tests
reify,277,,2026-04-14T06:17:08.612490+00:00,2026-04-14T06:28:57.330695+00:00,0.1969,era_death,2,4,0,0.394,0.000,0.585,0,crates/reify-compiler/tests;crates/reify-eval/tests
reify,277,,2026-04-14T07:04:06.853735+00:00,2026-04-14T07:08:27.987512+00:00,0.0725,lease_expired,4,4,0,0.290,0.145,2.733,0,crates/reify-compiler/src/annotations.rs;crates/reify-compiler/src/lib.rs;crates/reify-compiler/tests/solver_hint_tests.rs;crates/reify-eval/tests/solver_hint_eval_tests.rs
reify,315,,2026-04-14T09:52:29.947010+00:00,2026-04-14T11:36:53.919002+00:00,1.7400,lease_expired,4,4,0,6.960,0.000,0.893,0,crates/reify-compiler/src/geometry.rs;crates/reify-eval/src/lib.rs;crates/reify-kernel-occt/src/ffi.rs;crates/reify-kernel-occt/src/lib.rs
reify,315,,2026-04-14T12:30:29.265481+00:00,2026-04-14T13:37:57.302637+00:00,1.1245,lease_expired,4,4,0,4.498,0.000,2.018,0,crates/reify-compiler/src/geometry.rs;crates/reify-eval/src/lib.rs;crates/reify-kernel-occt/src/ffi.rs;crates/reify-kernel-occt/src/lib.rs
reify,275,,2026-04-14T14:18:53.364514+00:00,2026-04-14T14:41:09.310127+00:00,0.3711,era_death,13,4,0,4.824,1.978,0.967,0,crates/reify-compiler/src/annotations.rs;crates/reify-compiler/src/conformance.rs;crates/reify-compiler/src/entity.rs;crates/reify-compiler/src/guards.rs;crates/reify-compiler/src/types.rs;crates/reify-compiler/tests/solver_hint_tests.rs;crates/reify-eval/tests/guard_eval.rs;crates/reify-eval/tests/meta_eval_integration.rs;crates/reify-syntax/src/lib.rs;crates/reify-syntax/src/ts_parser.rs;crates/reify-syntax/tests/annotation_tests.rs;crates/reify-test-support/src/builders;tree-sitter-reify/grammar.js
reify,1609,,2026-04-14T15:39:04.133756+00:00,2026-04-14T19:08:13.791257+00:00,3.4860,lease_expired,2,4,0,6.972,0.000,0.306,0,crates/reify-compiler/src/geometry.rs;crates/reify-eval/src/lib.rs
reify,275,,2026-04-14T19:15:23.466349+00:00,2026-04-14T19:59:49.313449+00:00,0.7405,used,14,4,0,10.367,7.517,4.896,0,crates/reify-compiler/src/annotations.rs;crates/reify-compiler/src/conformance.rs;crates/reify-compiler/src/entity.rs;crates/reify-compiler/src/guards.rs;crates/reify-compiler/src/lib.rs;crates/reify-compiler/src/types.rs;crates/reify-compiler/tests/solver_hint_tests.rs;crates/reify-eval/tests/guard_eval.rs;crates/reify-eval/tests/meta_eval_integration.rs;crates/reify-syntax/src/lib.rs;crates/reify-syntax/src/ts_parser.rs;crates/reify-syntax/tests/annotation_tests.rs;crates/reify-test-support/src/builders;tree-sitter-reify/grammar.js
reify,320,,2026-04-14T20:01:12.747865+00:00,2026-04-15T00:07:07.488665+00:00,4.0985,lease_expired,11,4,0,45.084,24.591,0.000,0,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/types.rs;crates/reify-compiler/src/units.rs;crates/reify-eval/src/lib.rs;crates/reify-eval/tests/curve_constructors_e2e.rs;crates/reify-kernel-occt/cpp/occt_wrapper.cpp;crates/reify-kernel-occt/cpp/occt_wrapper.h;crates/reify-kernel-occt/src/ffi.rs;crates/reify-kernel-occt/src/lib.rs;crates/reify-kernel-occt/tests/curve_constructors_integration.rs;crates/reify-types/src/geometry.rs
reify,320,,2026-04-15T00:07:33.485047+00:00,2026-04-15T00:53:34.040802+00:00,0.7668,used,11,4,0,8.435,5.037,1.206,0,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/types.rs;crates/reify-compiler/src/units.rs;crates/reify-eval/src/lib.rs;crates/reify-eval/tests/curve_constructors_e2e.rs;crates/reify-kernel-occt/cpp/occt_wrapper.cpp;crates/reify-kernel-occt/cpp/occt_wrapper.h;crates/reify-kernel-occt/src/ffi.rs;crates/reify-kernel-occt/src/lib.rs;crates/reify-kernel-occt/tests/curve_constructors_integration.rs;crates/reify-types/src/geometry.rs
reify,1609,,2026-04-14T19:10:37.681636+00:00,2026-04-15T00:53:34.592344+00:00,5.7158,reinstall_anomaly,2,4,1,11.432,0.000,1.206,105,crates/reify-compiler/src/geometry.rs;crates/reify-eval/src/lib.rs
reify,1609,,2026-04-15T00:53:34.592344+00:00,2026-04-15T01:57:32.977815+00:00,1.0662,lease_expired,5,10,0,5.331,3.964,0.001,0,crates/reify-compiler/src/entity.rs;crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/guards.rs;crates/reify-compiler/src/lib.rs;crates/reify-compiler/tests/let_scope_tests.rs
reify,1609,,2026-04-15T01:57:45.917427+00:00,2026-04-15T02:08:50.527367+00:00,0.1846,used,5,4,0,0.923,0.233,3.502,0,crates/reify-compiler/src/entity.rs;crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/guards.rs;crates/reify-compiler/src/lib.rs;crates/reify-compiler/tests/let_scope_tests.rs
reify,296,,2026-04-15T02:24:13.762351+00:00,2026-04-15T05:03:23.629348+00:00,2.6527,lease_expired,3,4,0,7.958,0.000,0.082,0,crates/reify-compiler/src/lib.rs;crates/reify-eval/src/lib.rs;crates/reify-types/src/value.rs
reify,296,,2026-04-15T05:08:19.815575+00:00,2026-04-15T05:38:56.172598+00:00,0.5101,used,3,4,0,1.530,0.602,1.142,0,crates/reify-compiler/src/lib.rs;crates/reify-eval/src/lib.rs;crates/reify-types/src/value.rs
reify,1715,,2026-04-15T06:29:15.605157+00:00,2026-04-15T06:31:38.285389+00:00,0.0396,used,2,4,0,0.079,0.079,0.772,0,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/tests/let_scope_tests.rs
reify,612,,2026-04-15T05:38:57.777310+00:00,2026-04-15T06:40:21.414409+00:00,1.0232,lease_expired,3,4,0,3.070,0.878,0.119,8,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/lib.rs;crates/reify-eval/src/lib.rs
reify,1719,,2026-04-15T06:31:50.799955+00:00,2026-04-15T07:43:23.609003+00:00,1.1924,lease_expired,3,4,0,3.577,1.617,1.017,12,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/units.rs;crates/reify-compiler/tests/let_scope_tests.rs
reify,612,,2026-04-15T06:47:29.533582+00:00,2026-04-15T07:58:33.476100+00:00,1.1844,lease_expired,3,4,1,3.553,0.000,2.517,30,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/lib.rs;crates/reify-eval/src/lib.rs
reify,1719,,2026-04-15T07:43:25.064115+00:00,2026-04-15T08:44:23.742029+00:00,1.0163,lease_expired,3,4,0,3.049,2.033,0.000,11,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/units.rs;crates/reify-compiler/tests/let_scope_tests.rs
reify,323,,2026-04-15T08:06:49.622200+00:00,2026-04-15T10:29:34.160186+00:00,2.3790,lease_expired,9,4,0,21.411,16.653,1.782,0,crates/reify-compiler/src/geometry.rs;crates/reify-compiler/src/types.rs;crates/reify-compiler/src/units.rs;crates/reify-eval/src/lib.rs;crates/reify-kernel-occt/cpp/occt_wrapper.cpp;crates/reify-kernel-occt/cpp/occt_wrapper.h;crates/reify-kernel-occt/src/ffi.rs;crates/reify-kernel-occt/src/lib.rs;crates/reify-types/src/geometry.rs
reify,1741,,2026-04-15T11:09:52.205672+00:00,2026-04-15T12:11:35.300015+00:00,1.0286,lease_expired,23,4,0,23.659,23.659,0.000,0,gui/src-tauri/src/commands.rs;gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/lib.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.module.css;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/designTreeStore.test.ts;gui/src/__tests__/viewStateStore.test.ts;gui/src/__tests__/viewport;gui/src/bridge.ts;gui/src/debug.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/index.ts;gui/src/stores/designTreeStore.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts;gui/src/viewport/meshManager.ts
reify,1741,,2026-04-15T12:11:37.133106+00:00,2026-04-15T16:03:50.593746+00:00,3.8704,lease_expired,23,4,0,89.019,79.431,0.000,0,gui/src-tauri/src/commands.rs;gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/lib.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.module.css;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/designTreeStore.test.ts;gui/src/__tests__/viewStateStore.test.ts;gui/src/__tests__/viewport;gui/src/bridge.ts;gui/src/debug.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/index.ts;gui/src/stores/designTreeStore.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts;gui/src/viewport/meshManager.ts
reify,1281,,2026-04-15T10:29:37.978672+00:00,2026-04-15T16:25:22.964065+00:00,5.9292,silent_owner_dispatch_then_release,2,4,1,11.858,0.001,0.206,0,crates/reify-compiler/src/expr.rs;crates/reify-compiler/src/lib.rs
reify,1741,,2026-04-15T16:03:52.219113+00:00,2026-04-15T17:05:31.216370+00:00,1.0275,lease_expired,23,4,0,23.632,18.819,0.000,0,gui/src-tauri/src/commands.rs;gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/lib.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.module.css;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/designTreeStore.test.ts;gui/src/__tests__/viewStateStore.test.ts;gui/src/__tests__/viewport;gui/src/bridge.ts;gui/src/debug.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/index.ts;gui/src/stores/designTreeStore.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts;gui/src/viewport/meshManager.ts
reify,1741,,2026-04-15T17:05:33.302111+00:00,2026-04-15T21:08:44.555373+00:00,4.0531,lease_expired,23,4,0,93.222,60.286,0.000,0,gui/src-tauri/src/commands.rs;gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/lib.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.module.css;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/designTreeStore.test.ts;gui/src/__tests__/viewStateStore.test.ts;gui/src/__tests__/viewport;gui/src/bridge.ts;gui/src/debug.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/index.ts;gui/src/stores/designTreeStore.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts;gui/src/viewport/meshManager.ts
reify,1741,,2026-04-15T21:08:46.190439+00:00,2026-04-15T21:32:57.042989+00:00,0.4030,used,23,4,0,9.269,5.750,23.551,0,gui/src-tauri/src/commands.rs;gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/lib.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.module.css;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/designTreeStore.test.ts;gui/src/__tests__/viewStateStore.test.ts;gui/src/__tests__/viewport;gui/src/bridge.ts;gui/src/debug.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/index.ts;gui/src/stores/designTreeStore.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts;gui/src/viewport/meshManager.ts
reify,1764,,2026-04-15T21:32:58.825949+00:00,2026-04-16T02:04:06.380948+00:00,4.5188,lease_expired,12,4,0,54.225,0.000,4.503,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T02:06:00.685086+00:00,2026-04-16T03:04:45.291279+00:00,0.9791,lease_expired,12,4,0,11.749,0.000,3.493,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T03:07:28.669189+00:00,2026-04-16T06:33:23.717131+00:00,3.4320,era_death,12,4,0,41.183,0.000,0.015,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T06:34:20.379110+00:00,2026-04-16T06:35:50.794501+00:00,0.0251,era_death,12,4,0,0.301,0.126,13.853,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T20:27:02.891392+00:00,2026-04-16T20:57:43.122100+00:00,0.5112,lease_expired,12,4,0,6.134,2.556,0.288,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T20:58:32.380349+00:00,2026-04-16T21:06:02.176372+00:00,0.1249,used,12,4,0,1.499,0.628,0.149,0,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/engineStore.test.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1743,,2026-04-16T21:17:26.394672+00:00,2026-04-16T21:17:36.323968+00:00,0.0028,used,11,4,0,0.030,0.022,1.931,0,gui/src/__tests__/DesignTree.test.tsx;gui/src/__tests__/DesignTreeContextMenu.test.tsx;gui/src/__tests__/viewStateStore.test.ts;gui/src/panels/DesignTree.module.css;gui/src/panels/DesignTree.tsx;gui/src/panels/DesignTreeContextMenu.module.css;gui/src/panels/DesignTreeContextMenu.tsx;gui/src/panels/index.ts;gui/src/stores/index.ts;gui/src/stores/viewStateStore.ts;gui/src/types.ts
reify,1764,,2026-04-16T21:16:07.365273+00:00,2026-04-16T22:02:01.824963+00:00,0.7651,lease_expired,15,4,0,11.477,1.785,0.082,181,gui/src-tauri/src/diff.rs;gui/src-tauri/src/engine.rs;gui/src-tauri/src/tests;gui/src-tauri/src/types.rs;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/StatusBar.test.tsx;gui/src/__tests__/bridge.test.ts;gui/src/__tests__/engineStore.test.ts;gui/src/__tests__/types.typecheck.ts;gui/src/bridge.ts;gui/src/panels/StatusBar.module.css;gui/src/panels/StatusBar.tsx;gui/src/stores/engineStore.ts;gui/src/types.ts
reify,1768,,2026-04-16T21:06:34.295360+00:00,2026-04-16T22:06:42.231561+00:00,1.0022,lease_expired,4,4,0,4.009,2.337,0.854,208,gui/src/App.tsx;gui/src/__tests__/Editor.test.tsx;gui/src/__tests__/useKeyboardShortcuts.test.ts;gui/src/editor/Editor.tsx
reify,1744,,2026-04-16T21:18:43.050016+00:00,2026-04-16T22:06:56.875708+00:00,0.8038,lease_expired,15,4,0,12.058,5.964,0.000,0,crates/reify-mcp/src/types.rs;crates/reify-mcp/tests/read_tools_tests.rs;gui/src-tauri/src/main.rs;gui/src-tauri/src/tests;gui/src/App.tsx;gui/src/__tests__/App.test.tsx;gui/src/__tests__/selectionStore.test.ts;gui/src/__tests__/useKeyboardShortcuts.test.ts;gui/src/__tests__/viewport;gui/src/debug/bridge.ts;gui/src/debug/types.ts;gui/src/hooks/useKeyboardShortcuts.ts;gui/src/stores/selectionStore.ts;gui/src/viewport/Viewport.tsx;gui/src/viewport/selection.ts
